 Trial 	 Generation 	 CoverEpsilon 	 PackingEpsilon 	 MinArchiveSparseness 	 ArchiveSize 
 0 	0 	16 	0 	-1 	1
 0 	1 	16 	0 	-1 	1
 0 	2 	16 	0 	-1 	1
 0 	3 	16 	0 	-1 	1
 0 	4 	13 	1 	3.0 	2
 0 	5 	13 	2 	2.5 	3
 0 	6 	13 	3 	3.0 	4
 0 	7 	13 	3 	3.33333333333 	5
 0 	8 	12 	3 	3.33333333333 	5
 0 	9 	12 	3 	3.0 	6
 0 	10 	12 	3 	3.0 	7
 0 	11 	12 	3 	3.0 	7
 0 	12 	12 	3 	3.0 	7
 0 	13 	12 	3 	3.0 	7
 0 	14 	12 	4 	3.0 	8
 0 	15 	11 	4 	3.0 	8
 0 	16 	11 	5 	3.0 	9
 0 	17 	11 	5 	2.66666666667 	10
 0 	18 	10 	5 	2.66666666667 	11
 0 	19 	11 	5 	2.66666666667 	12
 0 	20 	11 	5 	2.66666666667 	13
 0 	21 	10 	5 	2.66666666667 	14
 0 	22 	10 	5 	2.66666666667 	15
 0 	23 	10 	5 	2.66666666667 	16
 0 	24 	10 	5 	2.66666666667 	16
 0 	25 	10 	5 	2.66666666667 	16
 0 	26 	10 	5 	2.66666666667 	17
 0 	27 	10 	5 	2.33333333333 	18
 0 	28 	10 	5 	2.33333333333 	18
 0 	29 	10 	5 	2.33333333333 	18
 0 	30 	10 	5 	2.0 	19
 0 	31 	10 	5 	2.0 	19
 0 	32 	10 	5 	2.0 	20
 0 	33 	10 	5 	2.0 	20
 0 	34 	10 	5 	2.0 	20
 0 	35 	10 	5 	2.0 	21
 0 	36 	10 	5 	2.0 	21
 0 	37 	10 	5 	2.0 	21
 0 	38 	10 	5 	2.0 	22
 0 	39 	10 	5 	2.0 	23
 0 	40 	9 	5 	2.0 	24
 0 	41 	10 	5 	2.0 	24
 0 	42 	10 	5 	2.0 	25
 0 	43 	10 	5 	2.0 	26
 0 	44 	9 	5 	2.0 	26
 0 	45 	10 	5 	2.0 	26
 0 	46 	10 	5 	2.0 	27
 0 	47 	9 	5 	2.0 	27
 0 	48 	9 	5 	2.0 	27
 0 	49 	9 	5 	2.0 	27
 0 	50 	10 	5 	2.0 	27
 0 	51 	9 	5 	2.0 	28
 0 	52 	9 	5 	2.0 	28
 0 	53 	10 	5 	2.0 	29
 0 	54 	9 	5 	2.0 	29
 0 	55 	9 	5 	2.0 	30
 0 	56 	9 	5 	2.0 	31
 0 	57 	9 	5 	2.0 	31
 0 	58 	9 	5 	2.0 	32
 0 	59 	9 	5 	2.0 	33
 0 	60 	10 	5 	2.0 	33
 0 	61 	10 	5 	2.0 	33
 0 	62 	9 	5 	2.0 	33
 0 	63 	9 	5 	2.0 	34
 0 	64 	10 	5 	2.0 	34
 0 	65 	9 	5 	2.0 	35
 0 	66 	9 	5 	2.0 	35
 0 	67 	9 	5 	2.0 	35
 0 	68 	9 	5 	2.0 	36
 0 	69 	9 	5 	2.0 	36
 0 	70 	9 	5 	2.0 	36
 0 	71 	9 	5 	2.0 	36
 0 	72 	9 	5 	2.0 	36
